partner_name,model_name,year,car_cnt,car_sticker_cnt
partner_8426,model_487,year_31,1,0
partner_5033,model_549,year_31,1,0
partner_1747,model_147,year_32,1,0
partner_3799,model_416,year_36,1,0
partner_3798,model_399,year_28,1,0
partner_7341,model_416,year_29,1,0
partner_4458,model_494,year_29,1,0
partner_4458,model_398,year_27,1,0
partner_4458,model_319,year_37,1,0
partner_4458,model_188,year_29,1,0
partner_4458,model_147,year_35,1,0
partner_4458,model_549,year_29,1,0
partner_4458,model_549,year_31,2,0
partner_4458,model_549,year_35,1,0
partner_4458,model_222,year_28,1,0
partner_4458,model_7,year_36,1,0
partner_5338,model_589,year_36,1,0
partner_8510,model_589,year_36,2,2
partner_8510,model_147,year_31,2,2
partner_8510,model_7,year_33,1,1
partner_6266,model_425,year_33,1,0
partner_6266,model_401,year_25,1,0
partner_6266,model_554,year_24,1,1
partner_6266,model_416,year_0,2,0
partner_6266,model_589,year_31,1,1
partner_6266,model_589,year_35,2,1
partner_6266,model_589,year_36,1,0
partner_6266,model_35,year_31,1,0
partner_6266,model_398,year_29,1,0
partner_6266,model_7,year_30,1,1
partner_6698,model_589,year_35,1,1
partner_6698,model_589,year_37,1,1
partner_4864,model_416,year_0,1,0
partner_7043,model_147,year_33,1,0
partner_7043,model_530,year_25,1,0
partner_1477,model_311,year_27,1,0
partner_6077,model_7,year_30,1,1
partner_4683,model_487,year_25,1,0
partner_4835,model_373,year_19,1,0
partner_3690,model_235,year_25,1,0
partner_1116,model_89,year_27,1,0
partner_1116,model_386,year_27,1,0
partner_1116,model_416,year_31,1,0
partner_1116,model_416,year_35,1,0
partner_1116,model_589,year_29,1,0
partner_1116,model_148,year_22,1,0
partner_5681,model_589,year_33,1,1
partner_5681,model_589,year_36,3,3
partner_5681,model_549,year_24,1,0
partner_2878,model_589,year_30,1,0
partner_4253,model_588,year_18,1,0
partner_2836,model_589,year_29,1,0
partner_8733,model_282,year_14,1,0
partner_8733,model_483,year_15,1,0
partner_8733,model_76,year_19,1,0
partner_2016,model_494,year_34,1,0
partner_7418,model_549,year_28,1,1
partner_7265,model_576,year_27,1,0
partner_4580,model_275,year_9,1,0
partner_4580,model_89,year_23,1,0
partner_4580,model_89,year_24,1,0
partner_4580,model_89,year_25,1,0
partner_4580,model_89,year_26,1,0
partner_4580,model_615,year_25,1,0
partner_4580,model_615,year_26,1,0
partner_4580,model_615,year_28,1,0
partner_4580,model_615,year_29,1,1
partner_4580,model_370,year_23,2,0
partner_4580,model_261,year_30,1,0
partner_4580,model_386,year_30,1,0
partner_4580,model_202,year_32,1,1
partner_4580,model_361,year_25,1,0
partner_4580,model_361,year_26,1,0
partner_4580,model_361,year_28,2,0
partner_4580,model_361,year_29,3,0
partner_4580,model_384,year_33,1,0
partner_4580,model_565,year_28,1,0
partner_4580,model_576,year_21,1,0
partner_4580,model_576,year_23,1,0
partner_4580,model_576,year_24,2,0
partner_4580,model_362,year_25,1,0
partner_4580,model_336,year_27,1,0
partner_4580,model_336,year_28,1,0
partner_4580,model_335,year_23,1,0
partner_4580,model_113,year_25,1,0
partner_4580,model_554,year_24,1,0
partner_4580,model_56,year_27,1,0
partner_4580,model_416,year_0,9,0
partner_4580,model_416,year_28,1,0
partner_4580,model_416,year_36,1,0
partner_4580,model_114,year_30,1,0
partner_4580,model_165,year_23,1,0
partner_4580,model_250,year_26,1,0
partner_4580,model_517,year_35,1,0
partner_4580,model_494,year_29,1,0
partner_4580,model_494,year_33,1,0
partner_4580,model_343,year_21,1,0
partner_4580,model_540,year_20,1,0
partner_4580,model_64,year_21,1,0
partner_4580,model_62,year_20,1,0
partner_4580,model_62,year_21,1,0
partner_4580,model_62,year_22,1,0
partner_4580,model_399,year_23,1,0
partner_4580,model_589,year_29,3,0
partner_4580,model_589,year_30,4,0
partner_4580,model_589,year_31,4,0
partner_4580,model_589,year_32,5,3
partner_4580,model_589,year_34,4,1
partner_4580,model_589,year_35,3,1
partner_4580,model_589,year_36,5,2
partner_4580,model_589,year_37,4,2
partner_4580,model_410,year_23,1,0
partner_4580,model_410,year_25,2,0
partner_4580,model_410,year_26,1,0
partner_4580,model_410,year_28,1,1
partner_4580,model_410,year_29,1,0
partner_4580,model_410,year_30,1,0
partner_4580,model_410,year_33,1,1
partner_4580,model_35,year_30,1,0
partner_4580,model_35,year_32,1,0
partner_4580,model_35,year_36,1,1
partner_4580,model_398,year_24,1,0
partner_4580,model_398,year_25,4,0
partner_4580,model_398,year_26,3,0
partner_4580,model_398,year_27,2,0
partner_4580,model_398,year_28,4,0
partner_4580,model_398,year_29,4,0
partner_4580,model_398,year_30,2,0
partner_4580,model_398,year_31,1,0
partner_4580,model_398,year_35,2,0
partner_4580,model_319,year_33,1,0
partner_4580,model_319,year_35,1,0
partner_4580,model_319,year_37,1,0
partner_4580,model_82,year_33,1,0
partner_4580,model_148,year_23,1,0
partner_4580,model_392,year_16,1,0
partner_4580,model_380,year_21,1,0
partner_4580,model_380,year_25,1,0
partner_4580,model_287,year_27,1,0
partner_4580,model_71,year_24,1,0
partner_4580,model_240,year_25,1,0
partner_4580,model_34,year_31,1,0
partner_4580,model_354,year_29,1,0
partner_4580,model_149,year_25,1,0
partner_4580,model_549,year_24,1,0
partner_4580,model_549,year_25,1,0
partner_4580,model_549,year_27,1,0
partner_4580,model_549,year_31,1,0
partner_4580,model_549,year_32,1,0
partner_4580,model_549,year_34,1,0
partner_4580,model_549,year_35,1,0
partner_4580,model_549,year_36,2,1
partner_4580,model_322,year_26,1,0
